Date,Actual,Predicted
2020-06-01,179.619995,175.6216
2020-06-02,176.311996,166.39734
2020-06-03,176.591995,169.25925
2020-06-04,172.876007,168.40189
2020-06-05,177.132004,169.90744
2020-06-08,189.983994,175.64848
2020-06-09,188.134003,165.8643
2020-06-10,205.009995,173.98448
2020-06-11,194.567993,159.48416
2020-06-12,187.056,160.88579
2020-06-15,198.179993,172.43164
2020-06-16,196.425995,164.0948
2020-06-17,198.358002,168.7684
2020-06-18,200.792007,168.31262
2020-06-19,200.179993,165.7198
2020-06-22,198.863998,164.89659
2020-06-23,200.356003,166.16417
2020-06-24,192.169998,160.53125
2020-06-25,197.195999,168.62138
2020-06-26,191.947998,162.01285
2020-06-29,201.869995,171.39871
2020-06-30,215.962006,173.53062
2020-07-01,223.925995,171.5757
2020-07-02,241.731995,175.64848
2020-07-06,274.31601,174.66043
2020-07-07,277.971985,166.23344
2020-07-08,273.175995,161.58623
2020-07-09,278.855988,167.79355
2020-07-10,308.929993,173.92412
2020-07-13,299.411987,160.65898
2020-07-14,303.359985,166.3249
2020-07-15,309.201996,167.67433
2020-07-16,300.127991,160.65898
2020-07-17,300.167999,166.3234
2020-07-20,328.600006,172.96927
2020-07-21,313.671997,159.52365
2020-07-22,318.466003,167.47926
2020-07-23,302.614014,159.52365
2020-07-24,283.399994,159.31482
2020-07-27,307.920013,173.92412
2020-07-28,295.298004,159.40648
2020-07-29,299.821991,167.55363
2020-07-30,297.497986,164.0948
2020-07-31,286.152008,160.79433
2020-08-03,297.0,171.5757
2020-08-04,297.399994,166.29509
2020-08-05,297.003998,165.70685
2020-08-06,297.915985,166.47215
2020-08-07,290.541992,161.6873
2020-08-10,283.713989,161.63464
2020-08-11,274.877991,161.73502
2020-08-12,310.951996,173.66441
2020-08-13,324.200012,168.78465
2020-08-14,330.141998,167.89787
2020-08-17,367.127991,173.66441
2020-08-18,377.417999,167.6972
2020-08-19,375.705994,165.46596
2020-08-20,400.365997,173.7133
2020-08-21,409.996002,167.9319
2020-08-24,402.839996,164.74757
2020-08-25,404.667999,167.8307
2020-08-26,430.634003,174.46515
2020-08-27,447.75,171.5757
2020-08-28,442.679993,165.90833
2020-08-31,498.320007,173.63371
2020-09-01,475.049988,159.52365
2020-09-02,447.369995,158.64728
2020-09-03,407.0,146.37285
2020-09-04,418.320007,167.46887
2020-09-08,330.209991,145.51016
2020-09-09,366.279999,173.36055
2020-09-10,371.339996,166.42136
2020-09-11,372.720001,165.66728
2020-09-14,419.619995,172.7441
2020-09-15,449.76001,173.62209
2020-09-16,441.76001,162.03513
2020-09-17,423.429993,158.77605
2020-09-18,442.149994,169.43512
2020-09-21,449.390015,167.593
2020-09-22,424.230011,162.02727
2020-09-23,380.359985,145.64201
2020-09-24,387.790009,167.86792
2020-09-25,407.339996,169.43512
2020-09-28,421.200012,168.83565
2020-09-29,419.070007,164.3659
2020-09-30,429.01001,168.60318
2020-10-01,448.160004,169.95671
2020-10-02,415.089996,159.10402
2020-10-05,425.679993,167.66814
2020-10-06,413.980011,160.56752
2020-10-07,425.299988,167.64688
2020-10-08,425.920013,168.538
2020-10-09,434.0,168.5814
2020-10-12,442.299988,168.20164
2020-10-13,446.649994,166.29794
2020-10-14,461.299988,168.95593
2020-10-15,448.880005,161.81953
2020-10-16,439.670013,163.4101
2020-10-19,430.829987,163.4101
2020-10-20,421.940002,163.64651
2020-10-21,422.640015,165.53227
2020-10-22,425.790009,166.22495
2020-10-23,420.630005,163.96288
2020-10-26,420.279999,165.06721
2020-10-27,424.679993,166.35056
2020-10-28,406.019989,160.55197
2020-10-29,410.829987,166.97122
2020-10-30,388.040009,162.02727
2020-11-02,400.51001,170.72499
2020-11-03,423.899994,172.30948
2020-11-04,420.980011,167.74678
2020-11-05,438.089996,169.44
2020-11-06,429.950012,164.74757
2020-11-09,421.26001,164.69618
2020-11-10,410.359985,162.01285
2020-11-11,417.130005,169.56856
2020-11-12,411.76001,164.09128
2020-11-13,408.5,165.17087
2020-11-16,408.089996,165.61295
2020-11-17,441.609985,175.64848
2020-11-18,486.640015,173.89342
2020-11-19,499.269989,167.66814
2020-11-20,489.609985,161.98373
2020-11-23,521.849976,173.60968
2020-11-24,555.380005,172.32945
2020-11-25,574.0,170.90913
2020-11-27,585.76001,169.78127
2020-11-30,567.599976,163.37143
2020-12-01,584.76001,169.98524
2020-12-02,568.820007,163.37143
2020-12-03,593.380005,171.44585
2020-12-04,599.039978,168.31262
2020-12-07,641.76001,175.64848
2020-12-08,649.880005,168.31262
2020-12-09,604.47998,159.31482
2020-12-10,627.070007,169.33638
2020-12-11,609.98999,160.65898
2020-12-14,639.830017,169.26929
2020-12-15,633.25,163.0604
2020-12-16,622.77002,164.29868
2020-12-17,655.900024,171.39871
2020-12-18,695.0,174.5488
2020-12-21,649.859985,159.31482
2020-12-22,640.340027,163.01524
2020-12-23,645.97998,166.23344
2020-12-24,661.77002,167.66814
2020-12-28,663.690002,167.8307
2020-12-29,665.98999,166.17105
2020-12-30,694.780029,170.0466
2020-12-31,705.669983,167.93553
